0149;Dypsis-cabadae-SBL194
0150;Dypsis-canaliculata-SBL275
0151;Dypsis-caudata-SBL539
0152;Dypsis-commersoniana-SBL240
0153;Dypsis-coriacea-SBL311
0154;Dypsis-curtisii-SBL279
0155;Dypsis-gronophyllum-SBL523
0156;Dypsis-henrici-SBL278
0158;Dypsis-humbertii-SBL313
0160;Dypsis-intermedia-SBL314
0161;Dypsis-interrupta-SBL177
0162;Dypsis-jeremiei-SBL245
0163;Dypsis-laevis-SBL246
0166;Dypsis-lutea-SBL282
0169;Dypsis-montana-SBL540
0170;Dypsis-moorei-SBL547
0171;Dypsis-oropedionis-SBL178
0172;Dypsis-pachyramea-SBL316
0173;Dypsis-pervillei-SBL281
0174;Dypsis-pilulifera-SBL252
0175;Dypsis-pinnatifrons-SBL253
0176;Dypsis-procumbens-SBL183
0178;Dypsis-rakotonasoloi-SBL287
0179;Dypsis-ramentacea-SBL196
0181;Dypsis-saintelucei-SBL284
0182;Dypsis-sancta-SBL288
0183;Dypsis-tanalensis-SBL180
0184;Dypsis-turkii-SBL176
0185;Lemurophoenix-halleuxii-SBL195
0187;Masoala-kona-SBL172
0191;Lemurophoenix-sp-Nov-SBL471
0193;Dypsis-lantzeana-BKL103
0194;Dypsis-lantzeana-BKL111
0195;Dypsis-leucomalla-BKL108
0196;Marojejya-darianii-BKL104
0198;Marojejya-insignis-BKL105
0199;Marojejya-insignis-BKL109
0201;Dypsis-heterophylla-SBL179-repooled
0202;Dypsis-ambositrae-SBL175-S45
0203;Dypsis-corniculata-SBL525
0204;Dypsis-decaryi-SBL193-S47
0205;Marojejya-darianii-SBL173-S39
1001;Areca-furcata-SBL597
1002;Balaka-streptostachys-SBL332
1003;Basselinia-moorei-SBL205
1004;Bentinckia-condapanna-SBL410
1005;Clinostigma-harlandii-SBL331
1006;Cyrtostachys-renda-SBL339
1007;Dictyosperma-album-SBL329
1008;Heterospathe-muelleriana-SBL588
1009;Hydriastele-procera-SBL418
1010;Iguanura-asli-SBL631
1011;Loxococcus-rupicola-SBL234-S35
1012;Loxococcus-rupicola-SBL8-S7
1013;Oenocarpus-minor-SBL211
1014;Oncosperma-tigillarium-SBL230
1015;Rhopaloblaste-ledermanniana-SBL152
2012;Dypsis_ambositrae
2014;Dypsis_sp_Kinjovato_a_canopy_sp
2015;Dypsis_sp_aff_D._pilulifera_(Orange_Crush)
2017;Dypsis_sanctaemariae
2033;Dypsis_decaryi
2034;Dypsis_lanceolata
2051;Dypsis_humblotiana
2052;Dypsis_pembana
2053;Dypsis_remotiflora
